Change number	Description	Valid From	Authorization group	Reason for Change	Change Status	Created on	Created by
150	Correct Con Specs with FSP without Usage	11/15/2006	    	                                        	2	11/15/2006	MFREDIAN    
151	KCM bottle spec corrections             	11/15/2006	    	                                        	2	11/15/2006	JKEYS       
152	Attach operating standards and update in	11/15/2006	    	                                        	2	11/15/2006	HCHANG      
153	Update viscosity specification          	11/16/2006	    	                                        	2	11/16/2006	HCHANG      
154	TESTING - PLEASE REJECT THIS ECR        	11/17/2006	    	                                        	1	11/17/2006	SGANDHI     
155	Update UOM from EA to CA for R#724      	11/21/2006	    	                                        	2	11/20/2006	YJACKSON    
156	Add alt bag for CU 140062.001 (ML w/Mes)	11/20/2006	    	                                        	2	11/20/2006	JKIKUCHI    
157	Rpl SAMC 14# carton with new graphics   	11/21/2006	    	                                        	2	11/20/2006	JLEE3       
158	Rpl SAFS 40# pail with new graphics     	11/21/2006	    	                                        	2	11/20/2006	JLEE3       
159	Granola                                 	11/21/2006	    	Convert from Design to Released         	1	11/21/2006	SMELIN      
160	Update design specs to released         	11/21/2006	    	                                        	2	11/21/2006	SMELIN      
161	Change from HSC to wrap case for 40 oz  	11/22/2006	    	                                        	2	11/22/2006	TWILLIA2    
162	Add alternate starch to recipe          	11/22/2006	    	                                        	2	11/22/2006	SMELIN      
163	Rpl FSS 28+5# 7DIR pail w/new graphics  	11/28/2006	    	                                        	2	11/27/2006	JLEE3       
164	Add & remove bag for CU 140709.001: R991	11/29/2006	    	                                        	1	11/29/2006	JKIKUCHI    
165	Change case Flute from B to C with new d	11/30/2006	    	                                        	2	11/30/2006	RPILLSBU    
166	Update incorrectly migrated specs       	11/30/2006	    	                                        	1	11/30/2006	HCHANG      
167	Remove Incorrect Bag in CU 140709.001   	12/4/2006	    	                                        	2	12/4/2006	JKIKUCHI    
168	Rpl FSPDAC 2/25# case with new graphicsP	12/6/2006	    	                                        	2	12/5/2006	JLEE3       
169	Adjustment to LT OR ED Formula Tech Tran	12/6/2006	    	                                        	2	12/6/2006	AMATALAN    
170	Rpl SAMC 14# carton with new graphics   	12/7/2006	    	                                        	2	12/6/2006	JLEE3       
171	Modify pkg components for Grand Slam    	12/11/2006	    	                                        	1	12/11/2006	SCATHCAR    
172	Modify tray and HSC for Grand Slam      	12/11/2006	    	                                        	1	12/11/2006	SCATHCAR    
173	Migration errors                        	12/11/2006	    	                                        	2	12/11/2006	DSCHARPI    
174	"For Div, rpl HomeCare 11 w/CatLitter 13 "	12/14/2006	    	                                        	2	12/13/2006	JLEE3       
175	Chg ItemCat from L to N for CU103479.001	12/14/2006	    	                                        	1	12/13/2006	JLEE3       
176	Chg ItemCat from L to N for CU103479.001	12/14/2006	    	                                        	1	12/13/2006	JLEE3       
177	Chg ItemCat from L to N for CU140022.001	12/14/2006	    	                                        	1	12/13/2006	JLEE3       
178	12/2006 dataplate label update p# change	12/14/2006	    	                                        	1	12/13/2006	JCARRICK    
179	Updating recipe following carton update 	12/13/2006	    	                                        	1	12/13/2006	EMETZ       
180	Chg ItemCat from L to N for CU103479.001	12/18/2006	    	                                        	2	12/15/2006	JLEE3       
181	Chg ItemCat from L to N for CU140022.001	12/18/2006	    	                                        	2	12/15/2006	JLEE3       
182	Edit text in spec. table.  Typos.       	12/18/2006	    	                                        	2	12/18/2006	BMA         
183	Test CR6120005 - Guixt correction       	12/18/2006	    	                                        	1	12/18/2006	JHUGHES     
184	Test2 CR6120005 - Guixt correction      	12/18/2006	    	                                        	1	12/18/2006	JHUGHES     
185	"Adding Bag, FY07 New Graphics           "	12/19/2006	    	                                        	2	12/19/2006	MBENITZ     
186	"Remove old, add new bag w/ FY07 Graphics"	12/19/2006	    	                                        	2	12/19/2006	MBENITZ     
187	Worland Density variance request        	12/20/2006	    	                                        	1	12/20/2006	LSOPKO      
188	Correct description to recipe 970       	12/20/2006	    	                                        	1	12/20/2006	MLEFORT     
189	Rpl FSPDAC 2/25# case with new graphics 	12/21/2006	    	                                        	2	12/20/2006	JLEE3       
190	Adjustment to LTBMOR Formula Tech Tran  	12/20/2006	    	                                        	2	12/20/2006	AMATALAN    
191	"For Div, chng HomeCare11 to CatLitter13 "	12/22/2006	    	                                        	2	12/21/2006	JLEE3       
192	Rpl SAMC 28# pail with new graphics     	12/29/2006	    	                                        	2	12/28/2006	JLEE3       
193	Rpl SAMC 20# carton with new graphics   	12/29/2006	    	                                        	2	12/28/2006	JLEE3       
194	Rpl FSS 28# pail with new graphics      	1/3/2007	    	                                        	2	1/2/2007	JLEE3       
195	test                                    	1/4/2007	    	test                                    	1	1/4/2007	VLEONARD    
196	Correcting manufacturing methods        	1/8/2007	    	                                        	1	1/8/2007	TWILLIA2    
197	Changing units of measure from lbs to ea	1/9/2007	    	                                        	1	1/8/2007	BMA         
198	Updating shelf life.                    	1/9/2007	    	                                        	2	1/9/2007	SSCHLAKE    
199	Migration Errors                        	1/11/2007	    	                                        	1	1/11/2007	DSCHARPI    
200	Migration errors                        	1/11/2007	    	                                        	2	1/11/2007	DSCHARPI    
201	Use new smoke flavor as alt. in ORBcn.  	1/11/2007	    	                                        	2	1/11/2007	SSCHLAKE    
202	Actual changes made with the ECR/ECO:   	1/11/2007	    	                                        	2	1/11/2007	SSCHLAKE    
203	Change micro limits on LAB.             	1/11/2007	    	                                        	2	1/11/2007	SSCHLAKE    
204	Change micro limits on LAB.             	1/11/2007	    	                                        	2	1/11/2007	SSCHLAKE    
205	Change micro limits on LAB.             	1/11/2007	    	                                        	2	1/11/2007	SSCHLAKE    
206	50% reduction of granular carbon in ECEF	1/15/2007	    	                                        	1	1/15/2007	LSOPKO      
207	Inputting all data into property tree   	1/16/2007	    	                                        	2	1/16/2007	JSCOTT      
208	Rpl FSS 28+3# pail with new graphics    	1/17/2007	    	                                        	2	1/16/2007	JLEE3       
209	Changing units of measure from lbs to ea	1/19/2007	    	                                        	1	1/19/2007	BMA         
210	Add specifications in light of PQ result	1/19/2007	    	                                        	1	1/19/2007	BMA         
211	Add FSReg 7lb bale label                	1/23/2007	    	                                        	2	1/22/2007	JLEE3       
212	Change recipes due to material shift    	1/23/2007	    	                                        	2	1/23/2007	SMELIN      
213	Correct KFD migration errors            	1/23/2007	    	                                        	2	1/23/2007	SMELIN      
214	Testing Lotus Notes notification        	1/26/2007	    	                                        	1	1/26/2007	CALLEN1     
215	migration errors wave 3                 	1/29/2007	    	                                        	2	1/29/2007	DSCHARPI    
216	Updates to specs for tech transfer      	1/29/2007	    	                                        	2	1/29/2007	AMATALAN    
217	Chg matl description for FG7131/R1986   	1/31/2007	    	                                        	1	1/30/2007	JLEE3       
218	testing please cancel                   	1/30/2007	    	                                        	1	1/30/2007	JHUGHES     
219	Rpl FSS 40# pail with new graphics      	1/31/2007	    	                                        	2	1/30/2007	JLEE3       
220	20070130	1/30/2007	    	                                        	2	1/30/2007	BCARTWRI    
221	20070130	1/30/2007	    	                                        	2	1/30/2007	BCARTWRI    
222	20070130	1/30/2007	    	                                        	2	1/30/2007	BCARTWRI    
223	New material number for boot            	1/30/2007	    	                                        	1	1/30/2007	RHOEFING    
224	New RSC material number (CDW 3x40ct.)   	1/30/2007	    	                                        	1	1/30/2007	RHOEFING    
225	test LN notification please cancel      	1/30/2007	    	                                        	1	1/30/2007	JHUGHES     
226	Torq Lug rqmt for HDPE trigger bottle   	1/31/2007	    	                                        	2	1/31/2007	JSTRATTO    
227	Change CLOS in Scooba Refill Recipe     	1/31/2007	    	                                        	2	1/31/2007	FCULANG     
228	20070131	1/31/2007	    	                                        	2	1/31/2007	IFUSMAN     
229	20070131	1/31/2007	    	                                        	1	1/31/2007	IFUSMAN     
230	20070201	2/1/2007	    	                                        	2	1/31/2007	IFUSMAN     
231	High Polyacrylate in scented bleach     	1/31/2007	    	                                        	1	1/31/2007	GBROWN      
232	Add pH spec for packaging line          	1/31/2007	    	                                        	2	1/31/2007	MLANE       
233	Insert your Title Text Here             	2/1/2007	    	                                        	1	2/1/2007	DHELGESO    
234	New case and partition specifications   	2/1/2007	    	                                        	1	2/1/2007	APROWELL    
235	Recipe: 2262 Adds 000000107927 dark blue	2/2/2007	    	                                        	2	2/2/2007	LFLORES     
236	Modify pallet to be 2-layer instead of 4	2/2/2007	    	                                        	2	2/2/2007	RCARINO     
237	correcting Fresh Step Regular CU length 	2/2/2007	    	                                        	2	2/2/2007	JKEYS       
238	Modify Alt BOM. 4 layer to 2 layer pal  	2/2/2007	    	                                        	1	2/2/2007	RCARINO     
239	Add Alt CDW source                      	2/2/2007	    	                                        	1	2/2/2007	RCARINO     
240	Test only                               	2/2/2007	    	                                        	1	2/2/2007	CALLEN1     
241	Change specs & part -test               	2/2/2007	    	                                        	1	2/2/2007	CALLEN1     
242	test-2                                  	2/2/2007	    	                                        	1	2/2/2007	CALLEN1     
243	test 3                                  	2/2/2007	    	                                        	1	2/2/2007	CALLEN1     
244	test3                                   	2/2/2007	    	                                        	1	2/2/2007	CALLEN1     
245	test3                                   	2/2/2007	    	                                        	1	2/2/2007	CALLEN1     
246	"New MTW #3520 w/new CS,PTN for #2966    "	2/4/2007	    	                                        	2	2/4/2007	APROWELL    
247	"New CS,PTN for Recipe 2964              "	2/4/2007	    	                                        	2	2/4/2007	APROWELL    
248	Approval of Design Recipe               	2/5/2007	    	                                        	1	2/5/2007	BMA         
249	Correcting customer unit                	2/6/2007	    	                                        	2	2/5/2007	LTELEHAL    
250	Replacing components with a FERT        	2/6/2007	    	                                        	2	2/5/2007	LTELEHAL    
251	Change partition                        	2/5/2007	    	                                        	2	2/5/2007	PCLINE      
252	Migration errors                        	2/6/2007	    	                                        	2	2/6/2007	DSCHARPI    
253	Regulatory Info not completed correctly 	2/6/2007	    	                                        	2	2/6/2007	BMA         
254	Regulatory Info not completed correctly 	2/6/2007	    	                                        	2	2/6/2007	BMA         
255	Adding FM lower and upper limit         	2/6/2007	    	                                        	2	2/6/2007	LFULLBRI    
256	Supplier change in 000030209004         	2/6/2007	    	                                        	2	2/6/2007	CSTETTLE    
257	Ing statement/Product ID number change  	2/6/2007	    	                                        	2	2/6/2007	CSTETTLE    
258	Updating Customer adn Consumer Specs    	2/6/2007	    	                                        	2	2/6/2007	MKREMER1    
259	Shelf life updates for multiple cu's    	2/6/2007	    	                                        	2	2/6/2007	CSTETTLE    
260	Update spec for Na Percarbonate         	2/12/2007	    	                                        	2	2/7/2007	KSWEENE1    
261	Update Oxi Magic spec for location      	2/7/2007	    	                                        	2	2/7/2007	KSWEENE1    
262	New consumer unit in recipe             	2/7/2007	    	                                        	2	2/7/2007	RHOEFING    
263	Change components on recipe 3275        	2/7/2007	    	                                        	2	2/7/2007	RCARINO     
264	Update micro specs                      	2/7/2007	    	                                        	2	2/7/2007	SSCHLAKE    
265	Update missing fields in spec           	2/7/2007	    	                                        	2	2/7/2007	SSCHLAKE    
266	Rpl SAFR 14# carton with new graphics   	2/9/2007	    	                                        	2	2/8/2007	JLEE3       
267	Update unit of measure for and quantity 	2/7/2007	    	                                        	2	2/8/2007	LTELEHAL    
268	Remove alternate tie sheet              	2/12/2007	    	                                        	2	2/8/2007	LFULLBRI    
269	Add Material Number to MoldC Spec       	2/8/2007	    	                                        	2	2/8/2007	RNISHIJI    
270	Change CLOS in Scooba Refill Alt Recipe 	2/8/2007	    	                                        	2	2/8/2007	FCULANG     
271	Change to SUS carton                    	2/9/2007	    	                                        	2	2/9/2007	JCARRICK    
272	Update lavanda recipe for all plants    	2/9/2007	    	                                        	1	2/9/2007	MSTEWART    
273	Update lavanda recipe for all plants    	2/9/2007	    	                                        	1	2/9/2007	MSTEWART    
274	Update lavanda recipe for all plants    	2/9/2007	    	                                        	1	2/9/2007	MSTEWART    
275	Update lavanda recipe for all plants    	2/9/2007	    	                                        	1	2/9/2007	MSTEWART    
276	Update lavanda recipe for all plants    	2/9/2007	    	                                        	1	2/9/2007	MSTEWART    
277	Update lavanda recipe for all plants    	2/9/2007	    	                                        	1	2/9/2007	MSTEWART    
